Iteracje, Blad, Czy Afiniczna, Pary, Czas
6,20, false,28,0.3290228
Iteracje, Blad, Czy Afiniczna, Pary, Czas
8,20, false,31,0.32883782
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10,20, false,31,0.30828689
Iteracje, Blad, Czy Afiniczna, Pary, Czas
15,20, false,32,0.31424799
,,,,
,,,,
,,,30.5,0.320098875
