Iteracje, Blad, Czy Afiniczna, Pary, Czas
19,20, true,27,0.88421833
Iteracje, Blad, Czy Afiniczna, Pary, Czas
26,20, true,29,0.96064078
Iteracje, Blad, Czy Afiniczna, Pary, Czas
34,20, true,31,0.88225163
Iteracje, Blad, Czy Afiniczna, Pary, Czas
50,20, true,30,0.97172639
,,,,
,,29.25,0.924709282,
