Iteracje, Blad, Czy Afiniczna, Pary, Czas
76,20, true,32,4.33034658
Iteracje, Blad, Czy Afiniczna, Pary, Czas
100,20, true,33,4.27582216
Iteracje, Blad, Czy Afiniczna, Pary, Czas
134,20, true,33,4.02000128
Iteracje, Blad, Czy Afiniczna, Pary, Czas
192,20, true,33,4.63364423
,,,,
,,32.75,4.314953563,
