Iteracje, Blad, Czy Afiniczna, Pary, Czas
3,20, true,23,0.33317627
Iteracje, Blad, Czy Afiniczna, Pary, Czas
4,20, true,28,0.3171899
Iteracje, Blad, Czy Afiniczna, Pary, Czas
6,20, true,30,0.30781912
Iteracje, Blad, Czy Afiniczna, Pary, Czas
8,20, true,32,0.30628373
,,,,
,,,,
,,,28.25,0.316117255
