Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, true, 28, 0.7035815503
10200, 8, true, 34, 0.5546619
10200, 12, true, 34, 0.6653369199
10200, 16, true, 36, 0.5798985001
10200, 20, true, 38, 0.59068689
10200, 24, true, 40, 0.5508734899000001
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, true, 32, 0.3826307901
20, 20, true, 35, 0.38032053000000005
50, 20, true, 36, 0.3870309598
100, 20, true, 37, 0.38362433009999997
1000, 20, true, 38, 0.3345879297999999
10000, 20, true, 39, 0.3632776899
